"AFG"	{"Gold":0,"Silver":0,"Bronze":2}
"AHO"	{"Gold":0,"Silver":1,"Bronze":0}
"ALG"	{"Gold":5,"Silver":4,"Bronze":8}
"ARG"	{"Gold":77,"Silver":78,"Bronze":100}
"ARM"	{"Gold":2,"Silver":8,"Bronze":8}
"AUS"	{"Gold":295,"Silver":356,"Bronze":461}
"AUT"	{"Gold":10,"Silver":18,"Bronze":14}
"AZE"	{"Gold":7,"Silver":14,"Bronze":28}
"BAH"	{"Gold":14,"Silver":11,"Bronze":13}
"BAR"	{"Gold":0,"Silver":0,"Bronze":1}
"BDI"	{"Gold":1,"Silver":1,"Bronze":0}
"BEL"	{"Gold":34,"Silver":29,"Bronze":24}
"BER"	{"Gold":1,"Silver":0,"Bronze":0}
"BLR"	{"Gold":18,"Silver":45,"Bronze":65}
"BOT"	{"Gold":0,"Silver":1,"Bronze":5}
"BRA"	{"Gold":141,"Silver":201,"Bronze":163}
"BRN"	{"Gold":2,"Silver":2,"Bronze":0}
"BUL"	{"Gold":39,"Silver":89,"Bronze":98}
"BUR"	{"Gold":0,"Silver":0,"Bronze":1}
"CAN"	{"Gold":118,"Silver":147,"Bronze":243}
"CHI"	{"Gold":3,"Silver":2,"Bronze":23}
"CHN"	{"Gold":402,"Silver":417,"Bronze":328}
"CIV"	{"Gold":1,"Silver":1,"Bronze":2}
"CMR"	{"Gold":21,"Silver":0,"Bronze":2}
"COL"	{"Gold":5,"Silver":12,"Bronze":14}
"CRC"	{"Gold":1,"Silver":1,"Bronze":2}
"CRO"	{"Gold":59,"Silver":53,"Bronze":38}
"CUB"	{"Gold":166,"Silver":112,"Bronze":96}
"CYP"	{"Gold":0,"Silver":1,"Bronze":0}
"CZE"	{"Gold":20,"Silver":29,"Bronze":37}
"DEN"	{"Gold":97,"Silver":58,"Bronze":73}
"DJI"	{"Gold":0,"Silver":0,"Bronze":1}
"DOM"	{"Gold":3,"Silver":9,"Bronze":27}
"ECU"	{"Gold":3,"Silver":2,"Bronze":0}
"EGY"	{"Gold":2,"Silver":6,"Bronze":13}
"ERI"	{"Gold":0,"Silver":0,"Bronze":1}
"ESP"	{"Gold":114,"Silver":265,"Bronze":144}
"EST"	{"Gold":7,"Silver":4,"Bronze":12}
